"video_id";"fecha";"titulo";"fuente";"texto";"palabras"
"_3D-vPylSMY";"20250405";"Intervencion senador IVan Cepeda Congreso por la Paz";"https://youtu.be/_3D-vPylSMY";"quien ha sabido conducir la delegación de paz del gobierno en los complejos diálogos con el ejército de Liberación Nacional e insistir en todo momento en que nuestra mirada sobre la paz y sus logros y esfuerzos debe ser siempre apreciativa, que no puede haber desperdicio soberbia frente a la paz. Lo que ha logrado con tantos esfuerzos el pueblo colombiano, sus organizaciones, sus comunidades, debe ser reconocido en todo momento. Y de eso se trata esta reunión. Primero, es una respuesta a quienes nos invitan a tirar la toalla. y a renunciar al diálogo como salida a nuestro largo, sangriento y doloroso conflicto armado y multiplicidad de violencias. Hoy más que nunca nos reafirmamos en la vigencia de la búsqueda del diálogo, de la necesidad de reactivar las mesas de diálogo, de reactivar el proceso con el LN, de buscar que a través de las iniciativas humanitarias cese la violencia contra los pueblos indígenas, el campesinado, las comunidades es afrodescendientes, los pobladores rurales y también urbanos que padecen la violencia. Que se respete a los firmantes, las y los firmantes de paz, a quienes encabezan la implementación del acuerdo de paz de 2016. Para ello queremos en este ejercicio que ya ha definido Vera tratar por lo menos tres asuntos que consideramos fundamentales. Primero que discutamos en torno a la vigencia de la paz y aquí que reafirmemos algunas verdades que pueden ser tomadas como verdades evidentes y obvias, pero no lo son. Colombia continúa un conflicto armado que es histórico y que requiere una salida política. La paz es un asunto político, no es un asunto exclusivamente jurídico y mucho menos exclusivamente que se imponga por vías militares. El diálogo sigue siendo para nosotros lo que caracteriza esencialmente al género humano. Su potencia, su poder radica en el diálogo, en la construcción de la concertación para poder construir desde la diversidad realidades nuevas. Así que para quienes quieren llamarnos a dejar el diálogo, por ejemplo, con el Ejército de Liberación Nacional, les decimos claramente, no vamos a renunciar a ese propósito. Pero también obviamente un diálogo eficaz. No se trata de simplemente dejar las armas, desmovilizarse, no se trata de pacificar las regiones, pero tampoco de un diálogo eterno que no lleva a resultados, que se prolonga y se prolonga en ciclos durante décadas. No puede seguir siendo ese el horizonte. Necesitamos hoy respuestas claras de transformación territorial, de acción humanitaria, en fin. Y eso es válido también como parte de un acuerdo nacional, porque la paz no la vamos a construir solamente ni exclusivamente con quienes están armados. La paz se construye en el seno de la sociedad colombiana, entre las fuerzas políticas que viven en una confrontación radical y a veces tan cruenta como la propia confrontación armada, el llamado a los medios de comunicación a que promuevan otra manera de informar. otra cultura de la información sobre la paz, sobre la necesidad del entendimiento entre los colombianos. El llamado a todos los sectores que podamos aportar algo para la paz. Primer asunto. Segundo, la acción por la paz. No queremos simplemente una reflexión, un diálogo, una escucha. Queremos salir de aquí a tomar las calles del país y a una gran movilización nacional para exigir a todos los armados, oficiales y también a los grupos armados a que paren ya la violencia en todas sus formas y la confrontación. y a que se respete a las poblaciones, a la acción humanitaria, por supuesto, y a la vigencia del principio de distinción entre los combatientes y los no combatientes. Todos debemos respetar a los movimientos sociales, a las comunidades y evitar cualquier mezcla intencional o no en el discurso que ponga en riesgo la vida de los líderes sociales en los territorios donde se está llevando a cabo la confrontación armada. Y por último, esta reunión es para que confluyamos. Hay muchos llamados a crear un movimiento nacional por la paz y es hora de que surja. Es hora de que articulemos todos los movimientos que hay, las plataformas que tienen una tradición, unos logros, cada una de ellas que han sido fundamentales para lograr avanzar, por ejemplo, en la implementación del acuerdo de paz de 2016, para lograr desarrollar las mesas de diálogo, para crear un marco jurídico y legal necesario para poder hacer viable que los grupos que giran en torno a las economías ilícitas también puedan entrar en procesos de paz. Frente a todo eso, necesitamos un movimiento nacional por la paz y nuestra invitación en esta reunión es a que le pongamos a eso un cronograma, un plan y unas fechas. Así que muchas gracias por estar aquí en esta iniciativa. A continuación, ¿no? ¿Qué es esto?";"785"
"-m66-eM116I";"20250429";"CONFORMACIÓN DEL BLOQUE METRO";"https://youtu.be/-m66-eM116I";"Eh, digamos, mi trabajo como defensor de derechos humanos y en en mi ejercicio como congresista, me he cuidado mucho de no caer en eh afirmaciones eh que no tengan un sustento, una muy profunda investigación. Y las eh investigaciones serias son las que se hacen en primer lugar en el terreno. Eh, es cierto, yo no estuve el día en que en alguna reunión secreta se decidió que crear el bloque metro, pero yo sí estuve en Providencia, en San José del Nú, hice el recorrido con víctimas. Yo fui hasta la hacienda Huacharacas acompañado eh de una víctima que me narró exactamente lo que había pasado ahí. Eh, y qué hechos son absolutamente eh indiscutibles. Eh, estamos hablando de pequeñas poblaciones. Esto no es una gran ciudad, no es no son decenas de miles de personas. Eh, ahí vive una población pequeña, digamos, demográficamente hablando. No estamos hablando tampoco de eh vastísimas extensiones geográficas, no. Es un pueblo que tiene una iglesia que tiene como todo pueblo una estación de policía, tiene una bomba de gasolina y tiene una gran hacienda a su lado. Bueno, entonces la pregunta que se cae de su peso, que es obvia, es cómo pudo surgir allí un grupo armado, que pasara inadvertido eh no solamente a los pobladores de ese lugar, sino sobre todo a quienes controlaban esa población, que eran las familias como en todo pueblo rural en Colombia, hay unas familias semifeudales que controlan la vida, la tierra, la economía lícita ilícita en esos territorios. ¿Cómo pudo pasar desapercibido ese hecho que era una catedral gigantesca a la vista de todo el mundo? Y es más, una otra pregunta sencilla. A pocos kilómetros de esta población Providencia San José del Nus, queda la población de Amalfi, de la cual, hay que recordarlo, pues en este caso las grandes familias o las familias que llegaron a controlar a Malfi eran ni más ni menos que la de los hermanos Castaño Hill y los hermanos Rendón. Así que en ese mundo, que es un mundo que tiene unas dimensiones muy concretas, es realmente difícil eh que se escapen, no digo yo, a una investigación de un detective muy avesado, sino al sentido común ciertas realidades. Ah.";"374"
"9D15x-Hi0co";"20250429";"RESPUESTAS AL EXPRESIDENTE ÁLVARO URIBE：";"https://youtu.be/9D15x-Hi0co";"Concretamente recuerdo que recibí eh una solicitud de él en términos de entrevistarme eh con quién era su pareja, la señora de Yanira Gómez, quien figura en este proceso también como víctima. y con ella tuve eh tres reuniones.";"39"
"G-KqIm_nIVU";"20250429";"LAS MASACRES EN SAN ROQUE Y LA HACIENDA GUACHARACAS";"https://youtu.be/G-KqIm_nIVU";"Hay una historia muy larga. Esa historia es una historia que se remonta a la década de 1980 en Antioquia, cuando eh en ese departamento lamentablemente se entronizaron los clanes eh narcoparamilitares. surgieron familias que se dedicaron al mismo tiempo al narcotráfico y al paramilitarismo y sometieron regiones enteras a el imperio eh de ejércitos que terminaron unificados en una sola estructura, las Autodefensas Unidas de Colombia, que ejercía, entre otras cosas, su poder a través de empresas de seguridad. eh que creó el entonces gobernador de Antioquia, las empresas Convivir. Eh, una de esas haciendas y uno de esos municipios que tuvo la desgracia de padecer estas formas de control social fue eh el municipio de San Roque. Y allí se entronizó un régimen que con el la justificación de responder a una agresión de la guerrilla, cosa que es cierta en ese territorio hacía presencia una eh unidad del ejército de liberación nacional, pero utilizando eso como eh justificación, pues sembró el terror a través de masacres, asesinatos, selectivos, desapariciones forzadas, al punto que en una pequeña población se instaló un centro de formación paramilitar. Esa es la historia que está ahí y que es difícil de borrar porque digamos se pueden borrar a veces tal vez homicidios, eh hechos individuales, aunque dicen que no hay un crimen perfecto. Eh ahora, si no hay un crimen perfecto, no hay crímenes de les humanidad perfectos. Eso sí eh se lo puedo decir con toda eh la certeza. Aquí estamos ante hechos que son innegables. Allí, en esa población pequeña existió un grupo paramilitar. Ese grupo paramilitar realizó masacres. Esas masacres contaron con la participación de los señores que gobernaban ese territorio. Esa es la situación. M.";"287"
"HJH0iMCkYHg";"20250429";"DECLARACIONES QUE CONTROVIERTEN LAS MENTIRAS DE ALIAS EL TUS";"https://youtu.be/HJH0iMCkYHg";"Buenos días. Ayer fue un día significativo en el juicio que se sigue contra el expresidente Álvaro Urive. Hubo tres valiosas declaraciones y quiero mencionar simplemente algunos de sus aspectos. Ayer, en el juicio oral que se sigue contra el expresidente Álvaro Uribe Vélez, quedaron plenamente controvertidas las mentiras del narcotraficante y financiador de grupos paramilitares Juan Carlos Sierra Ramírez, alias El Tuzo, cuyo testimonio ha sido parte de la estrategia de fraude procesal. Primero, la declaración de el exjefe de las Autodefensas Unidas de Colombia, Salvatore Mancuso, quien afirmó que la extradición de algunos de los principales jefes de esa organización por parte del expresidente Uribe en mayo de 2008, tuvo como finalidad silenciar sus confesiones y ocultar las responsabilidades al más alto nivel de crímenes de estado perpetrados y que eso fue lo que nos dijo a quienes estuvimos presentes en la reunión llevada a cabo en mayo de 2009 en una penitenciaría en Washington. comillas, porque con nuestra extradición, básicamente, esto fue lo que dijo Mancuso, se pretendía silenciarnos y callar u ocultar la responsabilidad que tenía el Estado en crímenes de guerra. Esos crímenes fueron cometidos por nosotros en las autodefensas en connivencia con el Estado. Obviamente, si hablamos de crímenes de Estado, estamos hablando en ese entonces del gobierno de la seguridad democrática y fui enfático en expresarle a esa comisión que la política de seguridad democrática del presidente Uribe funcionó porque nosotros, los paramilitares, las autodefensas, estuvimos detrás de ello. Esa fue la contundente afirmación que hizo Mancuso. En segundo lugar, también Mancuso dejó en claro, además que era compañero de celda de Juan Carlos Sierra, por lo que le preguntó si quería reunirse con la comisión que lo visitó. Sierra consultó con su abogado y le dijo que estaba interesado. En consecuencia, el interés fue de Sierra, no de Piedad Córdoba, mío o de los otros integrantes de esta comisión que lo visitamos. También dejó en claro en su declaración Mancuso que fue Sierra el que pidió protección para sus familiares y que la senadora Piedad Córdoba le ofreció asilo humanitario para ellos y no un ofrecimiento, como él dijo, transaccional en contraprestación de acusaciones que pudiera ser ante la justicia. En tercer lugar, otro hecho relevante, la declaración del periodista Juan Carlos Giraldo, quien se ratifica de lo dicho ante la Corte Suprema en 2019, así como de las conversaciones que sostuvo con Juan Carlos Sierra y allí se evidencia esto. Primero, el periodista Giraldo no fue emisario del exmistrado José Luis Barceló ni de los doctores Eduardo Montealegre y Jorge Perdón. Segundo, ellos no le hicieron ofrecimientos a Sierra para que declarara en contra de los hermanos Uribe Vélez y tercero fue Sierra quien buscó a la Fiscalía General de la Nación. Y por último, un momento esencial, culminante de la audiencia, el testimonio del exministro y exagistrado auxiliar de la Corte Suprema de Justicia, Iván Velázquez, quien dejó totalmente claro que Sierra se hizo referencia efectivamente a los hermanos Uribe y concretamente al presidente de ese entonces, Álvaro Uribe Vélez, en declaraciones que rindió ante la justicia, contrario a lo que había sostenido el exparamilitar, perdón, el ex narcotraficante o narcotraficante condenado, eh, Juan Carlos Sierra. Con relación a la diligencia cumplida en Estados Unidos por el entonces magistrado Velázquez como parte de las labores del radicado 26,625 por la llamada parapolítica. Sierra Ramírez hizo una exposición voluntaria y en extremo detallada del llamado caso Tasmania, es decir, de su participación en la elaboración de un falso testimonio testimonio cuyo destinatario era el presidente de la República de ese entonces, Álvaro Uribe, contó cómo fue que se elaboró una carta que fue leída por Uribe, dirigida a él en 2007 por el paramilitar de ese entonces, Juan Carlos Orlando Moncada Zapata, alias Tasmaña, en lo que se en la que se informaba al mandatario eh que supuestamente el magistrado Iván Velázquez eh estaría hurdiendo un plan en su contra y que habría hecho una entrevista en la que eh le propuso a Tasmania que hiciera afirmaciones contra Uribe a cambio de beneficios jurídicos. Sierra contó cómo se hurdió todo el plan, cuáles fueron los reales beneficios que obtuvieron los paramilitares por participar en ese montaje contra el magistrado Velázquez. Habló de Mario Uribe Escobar y de Santiago Uribe. De esa declaración quedaron constancias escritas. que reclamaba el Tuso Sierra para luego validar su colaboración obteniendo rebaja de penas ante las autoridades estadounidenses. decir que Sierra confesó haber participado en una operación de fraude procesal de eh elaboración de falso testimonio antes de este episodio que ha involucrado al expresidente Álvaro Uribe eh, y que lo tiene ante la justicia precisamente por esos delitos. fraude procesal, soborno en también una actuación penal y soborno eh como parte de un entramado que se hizo en mi contra y en contra de otras víctimas como los magistrados Eduardo, perdón, como el exfiscal Eduardo Montealegre, el ex fiscal Perdomo y la médica de Yanira Jorz. M.";"832"
"HXoTOn0glic";"20250429";"LA DECLARACIÓN DE JUAN GUILLERMO MONSALVE Y EL NERVIOSISMO D";"https://youtu.be/HXoTOn0glic";"Bueno, más allá de la distorsión de la cual está siendo objeto la información sobre el proceso judicial contra el expresidente Álvaro Uribe, vale la pena escuchar en directo lo que está ocurriendo en este importante juicio. En el día de hoy en el expamilitar Juan Guillermo Monsalve ha rendido un testimonio supremamente impactante que creo debe ser escuchado con atención. En ese testimonio, Molzalve dice que en el 94 la guerrilla atacó guacharacas y junto a otras personas él participó en la creación del grupo paramilitar que terminó siendo el bloque Metro. rural. En ese trabajo de conformación del grupo, él sostiene, hoy lo dijo nuevamente que estaban involucrados los hermanos Uribe Vélez, los hermanos Gallón Enado y los hermanos Villegas Uribe. Ese grupo se dedicó al narcotráfico, al cartel de la gasolina, a masacrar a pobladores de esa zona del país y en un momento determinado hacer campaña para la elección presidencial de Álvaro Uribe, según Monzá, hay que escuchar atentamente ese testimonio que ha quedado para la historia del país. Yes.";"174"
"Ms5Mu_FYxX4";"20250429";"TESTIMONIO DE LA INVESTIGADORA DEL CTI LUZ MIREYA LÓPEZ RODR";"https://youtu.be/Ms5Mu_FYxX4";"Hoy, en el juicio al expresidente Álvaro Urivio Vélez comenzó a rendir testimonio la investigadora del CTI, Luz Mireya López Rodríguez. Su labor en desarrollo y cumplimiento de los autos y órdenes de la Corte Suprema de Justicia da cuenta de las visitas que Diego Cadena efectuó a la cárcel La Picota los días 21 y 22 de febrero de 2018. Contrario a lo que han sostenido otros testigos que pretenden favorecer al expresidente Uribe como Héctor Romero, Víctoria Eugenia Jaramillo y Ricardo Williamson. Se evidencia que Cadena y Pardo Haser eh planificaron meticulosamente la reunión en la que presionaron al testigo Monsalve y que la iniciativa de buscar su retractación fue de ellos, cumpliendo el encargo del expresidente y entonces senador de la República. Como se sabe, el expresidente Uribe debía presentar el recurso contra el auto inhibitorio, en este caso el 23 de febrero del año 2018. En la reunión del 22 de febrero de 2018 en la picota en la tarde entre el abogado cadena Enrique Pardo, el abogado Héctor Romero y Juan Guillermo Monsalve, Cadena y Pardo intentaron desesperadamente obtener la retractación de Monsalve a cambio de beneficios jurídicos. Antes de ese encuentro en la tarde del 22, Pardo y Cadena se reunieron en tres oportunidades. La primera reunión se produjo el 21 de febrero de 2018, en las horas de la tarde durante 1 hora y 5 minutos. A esa reunión, el testigo Monsalve se negó a concurrir y recibir a Cadena. La segunda visita de cadena se produjo el 22 de febrero del mismo año en las horas de la mañana. Y por último, la tercera se produjo en las horas de la tarde de ese mismo día durante 20 minutos para preparar la que tendrían a continuación y que le dirían a Monsalv. Eh, al comparar el registro fílmico de la reunión de la picota del 22 de febrero de 2018 y lo declarado por Héctor Romero, en el juicio se evidencia que este último mintió en su testimonio al menos en tres oportunidades. Primero, según Romero, no habló con Diego Cadena antes de la reunión con Monsalve, cuando en realidad estuvo sentado a solas con él en la misma mesa durante varios minutos antes de que ingresara Monsalve. Segundo, según Romero, Enrique Pardo Hash, solo se acercó un momento a la mesa de la reunión cuando en realidad participó casi que en toda ella. Y tercero, en un momento del encuentro se levantó de la mesa Romero a conversar con Cadena eh para eh tratar asuntos que se estaban desarrollando en la reunión. La realidad probatoria va demostrando con nitidez cómo se ha desarrollado a cabo la planificación del fraude procesal y del soborno a gran escala, en este caso, bajo la conducción y determinación del acusado Uribe Vélez. M.";"468"
"OwOs8owZ3Lw";"20250429";"LA FALAZ DECLARACIÓN DE HIILDA JANETH NIÑO FARFÁN";"https://youtu.be/OwOs8owZ3Lw";"Buenos días. Mientras el país estaba movilizado ayer llenando las plazas de las principales ciudades del país, en el juicio oral que se lleva a cabo contra el expresidente Álvaro Uribe por tres delitos, eh se presentó la declaración de la exfiscal Hilda Janet Niño Farfán. He aquí un resumen de esa declaración, la falaz declaración de Hilda Janet Niño Farfán. Ayer en el juicio oral que se sigue contra el expresidente Álvaro Uribe Vélez, se pudo escuchar a la exfiscal Hilda Janet Niño Farfán, condenada por recibir sobornos del narcotraficante Miguel Ángel Mejía Múnera, alias el mellizo. La fiscalía, como ha hecho con otros testigos presentados por el acusado Uribe Vélez, puso en claro las falacias de esta testiga. Primero, mientras que Hilda Niño dijo ante la Corte Suprema de Justicia que los ex fiscales Eduardo Montealegre y Jorge Perdomo estarían involucrados en un supuesto complot en contra de los hermanos Uribe Vélez en la diligencia de ayer, en el juicio oral, reconoció que nunca recibió de ellos una instrucción en tal sentido. Segundo, la exfiscal niño habría hecho estos señalamientos a cambio de que el acusado Uribe Vélez le ayudara para que fuera trasladada de lugar de reclusión. En una conversación interceptada el 9 de mayo de 2018, Diego Cadena, como ustedes saben, abogado en la sombra de Álvaro Uribe, se comprometió con la exfiscal Niño a pedir ayuda de Uribe para el referido traslado. Estos son fragmentos de esa conversación, dice la exfiscal niño Doc. ¿Y qué hago para que él me pueda ayudar con eso o con el director de la policía? ¿Por qué es que hay dos sitios? Está ese y está Carabineros. Y contesta Cadena, ""Le voy a averiguar y le digo, doc, se lo prometo. Il Janet niño, ayúdeme, doc, con eso usted, cadena. Se lo prometo que sí. Tercero, aunque niño aduce que su traslado no se dio por intermediación de Uribe Vélez, como lo indica la Corte Suprema de Justicia, coincidencialmente cuando ya estaba en conversaciones con el enviado de Uribe, es decir, el llamado abogangster Diego Cadena y tras 6 meses de lucha en los que no había logrado nada, es cuando consigue finalmente su traslado de sitio de reclusión. Cuarto, pese a que la exfiscal Niño dice que sus declaraciones no tienen relación con las visitas del abogado Cadena, se evidencian dos coincidencias. La primera eh es que eh Cadena la visita el 6 de julio de 2017 y la primera vez que ella solicita a la fiscalía ser escuchada en el caso de los 12 apóstoles que involucra a Santiago Uribe fue en septiembre de 2017, es decir, a pocas semanas de esa visita. Segundo, eh la segunda vez que solicita ser escuchada con el mismo propósito fue el 23 de abril de 2018, es decir, pocos días después de la segunda visita de cadena que se produjo el 17 de abril de ese año. Quinto, además, como lo advierte la Corte Suprema de Justicia en este caso y cito a la Corte, comillas, es llamativo que decida establecer contacto con el senador de ese entonces, Uribe Vélez, para el primer trimestre de 2018 a iniciativa propia para revelarle unos hechos que al parecer habrían sucedido 3 años atrás. Esto es en el 2015, que el acercamiento de la potencial testigo de nuevo se confiara a Diego Cadena cuando los abogados principales están al frente de las investigaciones que tendrían relación con el tema a declarar por esta solicita pretendida testigo. Hasta ahí la Corte Suprema. Bueno, como se sabe, los abogados principales han sido el doctor Granados y el doctor Lomar. Bueno, veremos el jueves cómo sigue desarrollándose el juicio contra el expresidente Álvaro Urive Vélez. M.";"620"
"X8haC3kuiVw";"20250429";"Juan Guillermo Monsalve ratifica sus afirmaciones ante la ju";"https://youtu.be/X8haC3kuiVw";"Y vale la pena señalar a propósito de esta de esta respuesta, senador Iván, que ninguno de los testigos eh que usted ha presentado, ninguno de los testigos en este caso, todos, ninguno de ellos se ha retractado a pesar de las presiones, a pesar de las amenazas, es decir, se mantienen después de tanto tiempo. Y por el contrario cogen más fuerza sus dichos. Eh, sí, aquí hay una circunstancia que es la siguiente. Yo realicé dos entrevistas en el año 2011, una al señor Monsalve y otra al señor Sierra. Bueno, en realidad cronológicamente fue primero la del señor Sierra, a quien Holman, usted también entrevistó en algún momento. Y otra al señor Monzal. Esas dos entrevistas de manera inmediata o a los pocos días de haberlas realizado, las entregué a la fiscal general de ese entonces, Vivia Morales. Esas entrevistas son anteriores a todo este proceso judicial, porque el proceso judicial realmente comenzó cuando yo hice mi primer debate en la Cámara sobre estos hechos. Ahí fue cuando Uribe apareció con los primeros eh falsos testigos y de ahí en adelante ha presentado eh prácticamente una veintena de personas eh muchas de ellas paramilitares, narcotraficantes, que me acusan de haber intentado a través de soborno, convencerlas de eh testificar en contradura, pero La realidad es que yo no he presentado a la justicia un solo testigo. En estos 14 años no he presentado el primer testigo ante la justicia. Así que la primera cuestión que debería explicarle el expresidente Álvaro Uribe es eh si en realidad mi pretensión era llevar decenas de testigos ante la justicia porque eso no se hizo realidad. Eh, llegamos a la conclusión un poco absurda de que personas que han estado en el mundo criminal eh tienen una conciencia que les impide acceder al soborno. Es esa la absurda hipótesis que él pretende venderle al país. Por supuesto, eso se cae de su peso, que es una mentira. Yeah.";"327"
"XN-SuP9XkCs";"20250429";"LAS MENTIRAS Y “OLVIDOS” DE JUAN CARLOS SIERRA, ALIAS ‘EL TU";"https://youtu.be/XN-SuP9XkCs";"Hoy quiero destacar dos hechos sobre el juicio que se sigue contra el expresidente Álvaro Uribe. La primera eh cuestión es la denuncia que hicimos como bancada de víctimas sobre el señor alias Simón. Señalamos que este es un testigo de Uribe que además de ser un falso testigo, pues ahora aparece como cabecilla de una estructura del clan del Golf. sobre tan importante revelación. No hemos escuchado ni una sola palabra de la defensa de Uribe, ni tampoco de su entorno político tan buciferante con relación a otros temas. Eh, y el segundo hecho fue la declaración del señor eh Juan Carlos eh Sierra, alias el Tuzo, plagada de mentiras y olvidos. Eh, de esta declaración cabe destacar lo siguiente. Primero, en este episodio, en la declaración de hoy, aparece por primera vez con tanta fuerza y claridad la oficina de Envigado. De una parte del Tuso Sierra era el enlace entre el narcotráfico y esa organización criminal, como consta en distintas decisiones judiciales, como por ejemplo una del Tribunal Superior de Medellín con relación al bloque Héroes de Granada y por otra parte el contacto entre Álvaro Uribe y el Tuso Sierra lo hizo Juan Manuel Aguilar, hermano de Carlos Mario Aguilar Echeverry, conocido también como Rogelio. jefe de la oficina de Envigado tras la ruptura eh perdón, tras tras la captura de alias Donberna. Segundo, en la declaración de hoy, el Tuso tuvo que eh admitir que esta era una visita oficial de una comisión del Senado de la República y que fue él quien solicitó a Piedad Córdoba y a quien estábamos presentes eh asilo para su familia ante la situación que él mismo reconoció era de riesgo por las declaraciones que él estaba haciendo ante la justicia. Tercero, con relación a la visita que hicimos el 27 de julio de 2009 en esa cárcel de Washington, cabe recordar que en varias oportunidades, en una narración que él hizo de carácter biográfico, mencionó eh él sin ninguna presión de manera espontánea a los hermanos Álvaro, Santiago y Jaime, conocido también como el pecoso Uribe Vélez. Eh, con relación a Santiago, habló de sus estrechas relaciones con el clan de los hermanos Gallóno. Con relación a El pecoso dijo que lo conocía personalmente y con relación al primo de Álvaro Uribe dijo que no solamente tenía relaciones familiares con Mario Uribe, sino también de índole comercial. Y con relación a Álvaro Uribe, sí, también lo mencionó, dijo que gracias a él como presidente de la República, eh Álvaro Uribe lo había logrado incluir eh como parte del proceso de la llamada desmovilización paramilitar de las Autodefensas Unidas de Colombia. Hay que recordar que esto fue escandaloso, puesto que Sierra aparecía como narcotraficante puro y fue por decisión de Álvaro Uribe que quedó incluido como parte de las Autodefensas Unidas de Colombia. En cuarto lugar, cabe destacar que en una declaración que él rindió en este proceso ante la Fiscalía General de la Nación, cuando se le preguntó, ""¿Usted ha declarado en contra del expresidente Álvaro Uribe?"" y su familia en alguna investigación. La respuesta del Tuso fue, ""He declarado no una, sino muchísimas veces."" Eh, quinto, en la carta que el Tuso Sierra envía a la Corte Suprema de Justicia, eh una primera el primero de agosto y otra el 20 de diciembre de 2018, señala falsamente que se le hicieron ofrecimientos a cambio de que declarara en contra de los hermanos Uribe Vélez, un hecho que hoy precisamente quedó desmentido por su propia declaración. Pero también hay que recordar la declaración que hizo su abogado estadounidense Manuel Retureta en la revista Semana, quien al referirse al hecho de que eh si él hubiera escuchado que se le hiciera un ofrecimiento ilícito en esa reunión que tuvimos en julio de 2009 en Washington, en la cárcel con él, pues dice Retureta, ""Yo como el único abogado americano en esa reunión Si yo hubiera oído algo así, me hubiera sentado con los fiscales estadounidenses para decir, esto es lo que está pasando. Por último, en interceptación del 7 de mayo de 2018, el acusado Álvaro Uribe le da la siguiente instrucción al abogánster Diego Cadena sobre cómo debe acomodar el Tuso Sierra su declaración. Comillas. Dígale que lo importante es que declare lo que quiera decir, que si tiene que quitarle o agregarle a eso, a esa declaración, que tranquilo. Esto es un resumen de lo que fue hoy el desfile de mentiras y olvidos de alias el Tus.";"751"
